Cycle No,Shift,Start Time,End Time,Duration,Power in kWh,Unit Consumption Per Heat Cycle
10,Shift 3,2023-05-13 22:45:07,2023-05-13 22:56:09,11.033333333333331,91.94,34.05172894176326
11,Shift 3,2023-05-13 22:56:09,2023-05-14 00:01:04,64.91666666666667,213.5,79.0739687226689
1,Shift 1,2023-05-14 00:01:04,2023-05-14 02:05:09,124.08333333333331,1968.91,729.2260741339848
2,Shift 1,2023-05-14 02:05:09,2023-05-14 04:21:28,136.31666666666666,1962.28,726.7705176207616
3,Shift 1,2023-05-14 04:21:28,2023-05-14 06:29:26,127.96666666666668,1927.62,713.9334755772753
4,Shift 1,2023-05-14 06:29:26,2023-05-14 07:50:28,81.03333333333333,547.59,202.8110540171964
5,Shift 1,2023-05-14 07:50:28,2023-05-15 11:12:08,1641.6666666666667,2701.58,1000.585439223456
1,Shift 2,2023-05-15 11:12:08,2023-05-15 13:57:07,164.98333333333332,1514.59,560.9593418432554
2,Shift 2,2023-05-15 13:57:07,2023-05-15 15:04:50,67.71666666666667,1530.01,566.6704551817021
3,Shift 2,2023-05-15 15:29:03,2023-05-15 15:38:57,9.9,71.96,26.65172605576051
4,Shift 2,2023-05-15 15:38:57,2023-05-15 18:16:50,157.88333333333333,1392.27,515.6556204710905
5,Shift 3,2023-05-15 18:16:50,2023-05-16 00:38:54,382.06666666666666,3705.44,1372.3855842255944
1,Shift 1,2023-05-16 00:38:54,2023-05-16 01:46:36,67.7,1336.66,495.059316142231
2,Shift 1,2023-05-16 01:46:36,2023-05-16 04:02:49,136.21666666666667,2232.6,826.8890751855395
3,Shift 1,2023-05-16 04:02:49,2023-05-16 06:28:15,145.43333333333334,2117.48,784.2520215200423
4,Shift 1,2023-05-16 06:28:15,2023-05-16 08:16:27,108.2,1971.56,730.2075559982443
5,Shift 2,2023-05-16 08:16:27,2023-05-16 10:16:13,119.76666666666668,2164.21,801.5594356773449
6,Shift 2,2023-05-16 10:16:13,2023-05-16 15:05:41,289.46666666666664,2397.81,888.0779879381179
7,Shift 2,2023-05-16 15:05:41,2023-05-16 18:40:09,214.46666666666667,2412.59,893.5520641470829
8,Shift 3,2023-05-16 18:40:09,2023-05-16 22:04:46,204.61666666666667,2634.77,975.840985128669
9,Shift 3,2023-05-16 22:04:46,2023-05-17 00:39:24,154.63333333333333,1815.38,672.3630889944451
1,Shift 1,2023-05-17 00:39:24,2023-05-17 03:22:17,162.88333333333333,1585.65,587.277870626006
2,Shift 1,2023-05-17 03:22:17,2023-05-17 05:21:15,118.96666666666668,1250.4,463.1111555342932
3,Shift 1,2023-05-17 05:21:15,2023-05-17 07:15:41,114.43333333333334,2177.61,806.5224005758654
4,Shift 1,2023-05-17 07:15:41,2023-05-17 10:01:17,165.6,2527.09,935.959488093395
5,Shift 2,2023-05-17 10:01:17,2023-05-17 12:16:56,135.65,1898.31,703.077915788049
6,Shift 2,2023-05-17 12:16:56,2023-05-17 12:55:59,39.05,361.05,133.72213818361513
7,Shift 2,2023-05-17 13:08:29,2023-05-17 15:05:18,116.81666666666666,1371.45,507.9445063526432
8,Shift 2,2023-05-17 15:05:18,2023-05-17 17:59:11,173.88333333333333,2102.73,778.7890564265217
9,Shift 3,2023-05-17 17:59:11,2023-05-17 18:14:34,15.383333333333333,573.33,212.34439106853327
10,Shift 3,2023-05-17 21:41:01,2023-05-17 22:33:37,52.6,133.77,49.54432757647273
11,Shift 3,2023-05-17 22:33:37,2023-05-18 03:30:51,297.2333333333333,2492.17,923.0261497160568
1,Shift 1,2023-05-18 07:44:16,2023-05-18 09:42:26,118.16666666666669,2344.86,868.4668691786661
2,Shift 2,2023-05-18 09:42:26,2023-05-18 12:25:57,163.51666666666668,2322.5,860.1853844674038
3,Shift 2,2023-05-18 12:25:57,2023-05-18 14:21:41,115.73333333333332,1863.32,690.1186514746738
